b'# Name Type Total HP Attack Defense Sp. Atk Sp. Def Speed'
b'001 BulbasaurGrass Poison\n318\n45\n49\n49\n65\n65\n45'
b'002 IvysaurGrass Poison\n405\n60\n62\n63\n80\n80\n60'
b'003 VenusaurGrass Poison\n525\n80\n82\n83\n100\n100\n80'
b'003 Venusaur Mega VenusaurGrass Poison\n625\n80\n100\n123\n122\n120\n80'
b'004 CharmanderFire \n309\n39\n52\n43\n60\n50\n65'
b'005 CharmeleonFire \n405\n58\n64\n58\n80\n65\n80'
b'006 CharizardFire Flying\n534\n78\n84\n78\n109\n85\n100'
b'006 Charizard Mega Charizard XFire Dragon\n634\n78\n130\n111\n130\n85\n100'
b'006 Charizard Mega Charizard YFire Flying\n634\n78\n104\n78\n159\n115\n100'
b'007 SquirtleWater \n314\n44\n48\n65\n50\n64\n43'
b'008 WartortleWater \n405\n59\n63\n80\n65\n80\n58'
b'009 BlastoiseWater \n530\n79\n83\n100\n85\n105\n78'
b'009 Blastoise Mega BlastoiseWater \n630\n79\n103\n120\n135\n115\n78'
b'010 CaterpieBug \n195\n45\n30\n35\n20\n20\n45'
b'011 MetapodBug \n205\n50\n20\n55\n25\n25\n30'
b'012 ButterfreeBug Flying\n395\n60\n45\n50\n90\n80\n70'
b'013 WeedleBug Poison\n195\n40\n35\n30\n20\n20\n50'
b'014 KakunaBug Poison\n205\n45\n25\n50\n25\n25\n35'
b'015 BeedrillBug Poison\n395\n65\n90\n40\n45\n80\n75'
b'015 Beedrill Mega BeedrillBug Poison\n495\n65\n150\n40\n15\n80\n145'
b'016 PidgeyNormal Flying\n251\n40\n45\n40\n35\n35\n56'
b'017 PidgeottoNormal Flying\n349\n63\n60\n55\n50\n50\n71'
b'018 PidgeotNormal Flying\n479\n83\n80\n75\n70\n70\n101'
b'018 Pidgeot Mega PidgeotNormal Flying\n579\n83\n80\n80\n135\n80\n121'
b'019 RattataNormal \n253\n30\n56\n35\n25\n35\n72'
