#,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,variant,stat_tier,type_combo,is_dual_type,offensive_power,defensive_bulk,speed_tier
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,,Weak (300-399),Grass / Poison,True,24.8,20.9,Very Slow
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,,Average (400-499),Grass / Poison,True,43.9,42.5,Slow
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,,Strong (500-579),Grass / Poison,True,72.3,74.7,Average
3,Venusaur,Grass,Poison,625,80,100,123,122,120,80,,Very Strong (580-699),Grass / Poison,True,91.0,95.19999999999999,Average
4,Charmander,Fire,,309,39,52,43,60,50,65,,Weak (300-399),Fire,False,24.4,10.6,Slow
5,Charmeleon,Fire,,405,58,64,58,80,65,80,,Average (400-499),Fire,False,44.4,32.5,Average
6,Charizard,Fire,Dragon,634,78,130,111,130,85,100,Mega X,Very Strong (580-699),Fire / Dragon,True,96.8,80.80000000000001,Average
6,Charizard,Fire,Flying,634,78,104,78,159,115,100,Mega Y,Very Strong (580-699),Fire / Flying,True,97.3,80.0,Average
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,,Strong (500-579),Fire / Flying,True,78.4,63.7,Average
7,Squirtle,Water,,314,44,48,65,50,64,43,,Weak (300-399),Water,False,15.0,28.1,Very Slow
8,Wartortle,Water,,405,59,63,80,65,80,58,,Average (400-499),Water,False,33.300000000000004,50.9,Slow
9,Blastoise,Water,,630,79,103,120,135,115,78,Mega,Very Strong (580-699),Water,False,93.4,92.9,Average
9,Blastoise,Water,,530,79,83,100,85,105,78,,Strong (500-579),Water,False,61.3,84.6,Average
10,Caterpie,Bug,,195,45,30,35,20,20,45,,Very Weak (<300),Bug,False,1.4000000000000001,2.1,Very Slow
11,Metapod,Bug,,205,50,20,55,25,25,30,,Very Weak (<300),Bug,False,0.8999999999999999,9.5,Very Slow
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,,Weak (300-399),Bug / Flying,True,37.6,36.4,Slow
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,,Very Weak (<300),Bug / Poison,True,1.6,0.8999999999999999,Slow
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,,Very Weak (<300),Bug / Poison,True,1.4000000000000001,6.1,Very Slow
15,Beedrill,Bug,Poison,495,65,150,40,15,80,145,Mega,Average (400-499),Bug / Poison,True,59.5,33.800000000000004,Very Fast
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,,Weak (300-399),Bug / Poison,True,37.6,33.800000000000004,Average
